Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
3.0,2024-10-10T22:41:09.857995800,ENDE_EINER_SPUR,500,true,287,69,11,155.78011472275335,1707.3977908557802,min:1  avg:32.33714285714286  max:192,min:1  avg:37.266112266112266  max:276,min:1  avg:63.34842519685039  max:164,min:1  avg:8.037037037037036  max:27,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.7
3.0,2024-10-10T22:50:14.550305400,ENDE_EINER_SPUR,500,true,299,85,42,140.24349157733536,1695.0312561169048,min:1  avg:56.140280561122246  max:143,min:1  avg:30.834170854271356  max:92,min:1  avg:39.07020280811233  max:146,min:1  avg:7.4036697247706424  max:28,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.7
3.0,2024-10-10T22:58:20.897438900,ENDE_EINER_SPUR,500,true,315,84,10,155.63962264150945,1824.3835591230807,min:1  avg:28.343915343915345  max:148,min:1  avg:41.280163599182  max:223,min:1  avg:65.4721689059501  max:138,min:1  avg:7.957142857142857  max:44,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-10T23:07:13.711955300,ENDE_EINER_SPUR,500,true,336,133,9,147.64565587734242,1753.9069606178398,min:1  avg:22.71794871794872  max:113,min:1  avg:48.96167883211679  max:221,min:1  avg:78.49653979238754  max:158,min:1  avg:10.75  max:68,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-10T23:13:14.077849100,ENDE_EINER_SPUR,500,true,322,76,15,138.78892733564012,1758.7448110068872,min:1  avg:20.957894736842107  max:118,min:1  avg:39.83522727272727  max:220,min:1  avg:56.63796133567663  max:137,min:1  avg:8.140625  max:31,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-10T23:21:54.992925300,ENDE_EINER_SPUR,500,true,315,107,17,140.7863397548161,1740.9432444199672,min:1  avg:23.341232227488153  max:125,min:1  avg:43.25140712945591  max:214,min:1  avg:75.52236135957067  max:173,min:1  avg:11.923076923076923  max:81,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-10T23:29:22.554811900,ENDE_EINER_SPUR,500,true,303,69,11,152.83364140480592,1747.8842568310367,min:1  avg:28.706666666666667  max:131,min:1  avg:47.89328063241107  max:236,min:1  avg:79.49718574108817  max:169,min:1  avg:13.727272727272727  max:68,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-10T23:35:29.507267400,ENDE_EINER_SPUR,500,true,322,41,14,141.90592334494772,1726.5861847136644,min:1  avg:23.114795918367346  max:132,min:1  avg:47.54545454545455  max:214,min:1  avg:71.67081850533808  max:172,min:1  avg:13.75609756097561  max:72,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0 ohne consensus,2024-10-10T23:41:59.073251200,ENDE_EINER_SPUR,500,true,340,91,9,159.68345323741008,1897.1089392380684,min:1  avg:21.416666666666668  max:95,min:1  avg:54.52091254752852  max:183,min:1  avg:89.57894736842105  max:189,min:1  avg:6.202247191011236  max:122,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0 ohne consensus altes Flocking,2024-10-10T23:50:10.317970,ENDE_EINER_SPUR,500,true,389,35,60,110.51603498542273,1837.7733557723589,min:1  avg:27.598198198198197  max:81,min:1  avg:39.73455759599332  max:128,min:1  avg:51.96251874062968  max:139,min:1  avg:5.148837209302326  max:130,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-11T00:00:21.664922,DREISPURIGE_AUTOBAHN,500,false,308,0,0,181.8624,3244.991740508591,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-11T00:06:48.663805200,DREISPURIGE_AUTOBAHN,500,true,386,7,0,165.25339366515837,3530.883504917095,min:1  avg:4.595744680851064  max:8,min:1  avg:97.99443413729128  max:238,min:1  avg:86.1891891891892  max:203,min:1  avg:6.5125628140703515  max:160,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
3.0,2024-10-11T00:12:56.162407900,DREISPURIGE_AUTOBAHN,500,true,384,30,0,157.3227848101266,3636.5199488620865,min:1  avg:5.164948453608248  max:98,min:1  avg:54.613508442776734  max:175,min:1  avg:85.51585976627713  max:207,min:1  avg:6.803921568627451  max:106,Radius: 40.0 Cooldown: 10.0 MinNumber: 3.0 Speed Perc: 0.9
